community	mainIncomeCommunity	populationSize	locality	sessionID	female	socialFirst	sequencePosition	asocialYes	socialYes	yes	propYes	lagOnePropYes	socialTmt	agricultureComm	eastGezira	numInSession	numFemalesInSession	propFemalesInSession	uniqueSubjectID
91	labour	4887	EastGezira	28	0	0	5	0	0	0	0.2	0.25	0	0	1	10	0	0	212
91	labour	4887	EastGezira	28	0	0	6	0	0	0	0.166666666666667	0.2	0	0	1	10	0	0	213
91	labour	4887	EastGezira	28	0	0	7	1	1	1	0.285714285714286	0.166666666666667	0	0	1	10	0	0	214
91	labour	4887	EastGezira	28	0	0	8	0	0	0	0.25	0.285714285714286	0	0	1	10	0	0	215
91	labour	4887	EastGezira	28	0	0	9	0	0	0	0.222222222222222	0.25	0	0	1	10	0	0	216
91	labour	4887	EastGezira	28	0	0	10	0	0	0	0.2	0.222222222222222	0	0	1	10	0	0	217
91	labour	4887	EastGezira	29	0	1	1	1	1	1	1	NA	0	0	1	3	0	0	218
91	labour	4887	EastGezira	29	0	1	2	0	1	0	0.5	1	0	0	1	3	0	0	219
91	labour	4887	EastGezira	29	0	1	3	0	0	0	0.333333333333333	0.5	0	0	1	3	0	0	220
114	agriculture	6500	EastGezira	30	0	0	1	1	1	1	1	NA	0	1	1	2	0	0	221
114	agriculture	6500	EastGezira	30	0	0	2	0	0	0	0.5	1	0	1	1	2	0	0	222
114	agriculture	6500	EastGezira	31	0	0	1	0	0	0	0	NA	0	1	1	9	0	0	223
114	agriculture	6500	EastGezira	31	0	0	2	0	0	0	0	0	0	1	1	9	0	0	224
114	agriculture	6500	EastGezira	31	0	0	3	0	0	0	0	0	0	1	1	9	0	0	225
114	agriculture	6500	EastGezira	31	0	0	4	0	0	0	0	0	0	1	1	9	0	0	226
114	agriculture	6500	EastGezira	31	0	0	5	0	0	0	0	0	0	1	1	9	0	0	227
114	agriculture	6500	EastGezira	31	0	0	6	1	1	1	0.166666666666667	0	0	1	1	9	0	0	228
114	agriculture	6500	EastGezira	31	0	0	7	0	0	0	0.142857142857143	0.166666666666667	0	1	1	9	0	0	229
114	agriculture	6500	EastGezira	31	0	0	8	0	0	0	0.125	0.142857142857143	0	1	1	9	0	0	230
114	agriculture	6500	EastGezira	31	0	0	9	0	0	0	0.111111111111111	0.125	0	1	1	9	0	0	231
114	agriculture	6500	EastGezira	32	0	1	1	0	0	0	0	NA	0	1	1	4	0	0	232
114	agriculture	6500	EastGezira	32	0	1	2	0	0	0	0	0	0	1	1	4	0	0	233
114	agriculture	6500	EastGezira	32	0	1	3	0	0	0	0	0	0	1	1	4	0	0	234
114	agriculture	6500	EastGezira	32	0	1	4	1	1	1	0.25	0	0	1	1	4	0	0	235
114	agriculture	6500	EastGezira	33	0	1	1	0	0	0	0	NA	0	1	1	10	0	0	236
114	agriculture	6500	EastGezira	33	0	1	2	1	0	1	0.5	0	0	1	1	10	0	0	237
114	agriculture	6500	EastGezira	33	0	1	3	0	1	0	0.333333333333333	0.5	0	1	1	10	0	0	238
114	agriculture	6500	EastGezira	33	0	1	4	0	0	0	0.25	0.333333333333333	0	1	1	10	0	0	239
114	agriculture	6500	EastGezira	33	0	1	5	1	1	1	0.4	0.25	0	1	1	10	0	0	240
114	agriculture	6500	EastGezira	33	0	1	6	0	0	0	0.333333333333333	0.4	0	1	1	10	0	0	241
114	agriculture	6500	EastGezira	33	0	1	7	0	0	0	0.285714285714286	0.333333333333333	0	1	1	10	0	0	242
114	agriculture	6500	EastGezira	33	0	1	8	0	0	0	0.25	0.285714285714286	0	1	1	10	0	0	243
114	agriculture	6500	EastGezira	33	0	1	9	0	0	0	0.222222222222222	0.25	0	1	1	10	0	0	244
114	agriculture	6500	EastGezira	33	0	1	10	0	1	0	0.2	0.222222222222222	0	1	1	10	0	0	245
114	agriculture	6500	EastGezira	34	1	1	1	0	1	0	0	NA	0	1	1	9	9	1	246
114	agriculture	6500	EastGezira	34	1	1	2	0	0	0	0	0	0	1	1	9	9	1	247
114	agriculture	6500	EastGezira	34	1	1	3	0	0	0	0	0	0	1	1	9	9	1	248
114	agriculture	6500	EastGezira	34	1	1	4	0	0	0	0	0	0	1	1	9	9	1	249
114	agriculture	6500	EastGezira	34	1	1	5	0	0	0	0	0	0	1	1	9	9	1	250
114	agriculture	6500	EastGezira	34	1	1	6	0	0	0	0	0	0	1	1	9	9	1	251
114	agriculture	6500	EastGezira	34	1	1	7	0	0	0	0	0	0	1	1	9	9	1	252
114	agriculture	6500	EastGezira	34	1	1	8	0	0	0	0	0	0	1	1	9	9	1	253
114	agriculture	6500	EastGezira	34	1	1	9	0	0	0	0	0	0	1	1	9	9	1	254
114	agriculture	6500	EastGezira	35	1	1	1	0	0	0	0	NA	0	1	1	10	10	1	255
114	agriculture	6500	EastGezira	35	1	1	2	0	0	0	0	0	0	1	1	10	10	1	256
114	agriculture	6500	EastGezira	35	1	1	3	0	0	0	0	0	0	1	1	10	10	1	257
114	agriculture	6500	EastGezira	35	1	1	4	1	0	1	0.25	0	0	1	1	10	10	1	258
